"","action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","opponent","shot_id"
"29473","Jump Shot","Jump Shot",33.7613,-4,283,-118.2738,0,4,1,"2009-10",3,28,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29473
"29475","Jump Shot","Jump Shot",33.8683,171,176,-118.0988,4,1,1,"2009-10",12,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",29475
"29477","Jump Shot","Jump Shot",33.8063,-2,238,-118.2718,1,1,1,"2009-10",11,23,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29477
"29478","Jump Shot","Jump Shot",33.9833,-147,61,-118.4168,8,2,1,"2009-10",32,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","BOS",29478
"29479","Running Jump Shot","Jump Shot",33.9943,-26,50,-118.2958,6,2,1,"2009-10",49,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",29479
"29480","Jump Shot","Jump Shot",34.0023,67,42,-118.2028,4,2,1,"2009-10",49,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",29480
"29481","Running Layup Shot","Layup",34.0133,-27,31,-118.2968,3,2,1,"2009-10",59,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",29481
"29482","Jump Shot","Jump Shot",33.8503,-2,194,-118.2718,3,2,1,"2009-10",6,19,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","BOS",29482
"29483","Jump Shot","Jump Shot",33.9213,184,123,-118.0858,2,2,1,"2009-10",35,22,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",29483
"29484","Jump Shot","Jump Shot",34.0443,166,0,-118.1038,2,2,1,"2009-10",32,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",29484
"29485","Jump Shot","Jump Shot",33.9963,1,48,-118.2688,0,2,1,"2009-10",40,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",29485
"29487","Jump Shot","Jump Shot",33.9453,165,99,-118.1048,9,3,1,"2009-10",59,19,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",29487
"29488","Jump Shot","Jump Shot",33.8083,-67,236,-118.3368,9,3,1,"2009-10",7,24,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29488
"29489","Pullup Jump shot","Jump Shot",33.8023,-62,242,-118.3318,8,3,1,"2009-10",16,24,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29489
"29490","Turnaround Jump Shot","Jump Shot",33.8873,110,157,-118.1598,7,3,1,"2009-10",25,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","BOS",29490
"29491","Alley Oop Layup shot","Layup",34.0383,17,6,-118.2528,6,3,1,"2009-10",48,1,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29491
"29492","Jump Shot","Jump Shot",33.7793,73,265,-118.1968,6,3,1,"2009-10",10,27,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29492
"29493","Jump Shot","Jump Shot",34.0383,206,6,-118.0638,5,3,1,"2009-10",22,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",29493
"29495","Running Jump Shot","Jump Shot",33.9263,-8,118,-118.2778,10,4,1,"2009-10",10,11,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","BOS",29495
"29496","Jump Shot","Jump Shot",33.7893,1,255,-118.2688,9,4,1,"2009-10",22,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29496
"29498","Jump Shot","Jump Shot",33.7873,-57,257,-118.3268,0,4,1,"2009-10",30,26,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29498
"29499","Jump Shot","Jump Shot",33.8083,99,236,-118.1708,0,4,1,"2009-10",12,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",29499
"29500","Jump Shot","Jump Shot",33.7953,-5,249,-118.2748,0,4,1,"2009-10",6,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29500
"29501","Jump Shot","Jump Shot",33.8633,181,181,-118.0888,11,1,1,"2009-10",43,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",29501
"29502","Driving Finger Roll Layup Shot","Layup",34.0323,-24,12,-118.2938,11,1,1,"2009-10",21,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29502
"29503","Jump Shot","Jump Shot",33.8463,-30,198,-118.2998,7,1,1,"2009-10",23,20,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","BOS",29503
"29504","Layup Shot","Layup",34.0443,0,0,-118.2698,6,1,1,"2009-10",53,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29504
"29506","Jump Shot","Jump Shot",33.8163,141,228,-118.1288,4,1,1,"2009-10",50,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",29506
"29507","Jump Shot","Jump Shot",33.9643,160,80,-118.1098,2,1,1,"2009-10",18,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",29507
"29508","Driving Finger Roll Layup Shot","Layup",34.0443,0,0,-118.2698,1,1,1,"2009-10",35,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29508
"29509","Tip Shot","Tip Shot",34.0443,0,0,-118.2698,8,2,1,"2009-10",17,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29509
"29510","Layup Shot","Layup",34.0443,0,0,-118.2698,8,2,1,"2009-10",14,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29510
"29512","Jump Shot","Jump Shot",34.0033,-128,41,-118.3978,0,2,1,"2009-10",7,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","BOS",29512
"29513","Layup Shot","Layup",34.0443,0,0,-118.2698,7,3,1,"2009-10",5,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29513
"29514","Jump Shot","Jump Shot",33.8413,40,203,-118.2298,3,3,1,"2009-10",39,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","BOS",29514
"29515","Jump Shot","Jump Shot",34.0243,-235,20,-118.5048,7,4,1,"2009-10",29,23,"0","3PT Field Goal","Left Side(L)","Left Corner 3","24+ ft.","BOS",29515
"29517","Jump Shot","Jump Shot",33.9533,2,91,-118.2678,4,4,1,"2009-10",58,9,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","BOS",29517
"29518","Jump Shot","Jump Shot",33.8003,77,244,-118.1928,4,4,1,"2009-10",16,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29518
"29519","Layup Shot","Layup",34.0443,0,0,-118.2698,3,4,1,"2009-10",38,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29519
"29520","Jump Shot","Jump Shot",33.8823,-73,162,-118.3428,8,1,1,"2009-10",18,17,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","BOS",29520
"29521","Layup Shot","Layup",34.0443,0,0,-118.2698,8,1,1,"2009-10",8,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","BOS",29521
"29525","Jump Shot","Jump Shot",33.7983,97,246,-118.1728,2,1,1,"2009-10",0,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",29525
"29526","Jump Shot","Jump Shot",34.0583,230,-14,-118.0398,0,1,1,"2009-10",11,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","BOS",29526
"29527","Running Jump Shot","Jump Shot",33.9803,-11,64,-118.2808,11,2,1,"2009-10",37,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",29527
"29528","Jump Shot","Jump Shot",33.9863,192,58,-118.0778,7,2,1,"2009-10",40,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","BOS",29528
"29530","Jump Shot","Jump Shot",33.9863,84,58,-118.1858,3,2,1,"2009-10",22,10,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","BOS",29530
"29531","Pullup Jump shot","Jump Shot",33.8933,20,151,-118.2498,2,2,1,"2009-10",34,15,"1","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","BOS",29531
"29532","Jump Shot","Jump Shot",33.8493,-139,195,-118.4088,1,2,1,"2009-10",55,23,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","BOS",29532
"29534","Jump Shot","Jump Shot",33.7833,94,261,-118.1758,10,3,1,"2009-10",34,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","BOS",29534
"29536","Jump Shot","Jump Shot",33.8503,72,194,-118.1978,9,3,1,"2009-10",22,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","BOS",29536
"29537","Running Jump Shot","Jump Shot",33.9263,4,118,-118.2658,7,3,1,"2009-10",37,11,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","BOS",29537
"29538","Jump Shot","Jump Shot",33.9213,-57,123,-118.3268,4,3,1,"2009-10",21,13,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","BOS",29538
"29539","Jump Shot","Jump Shot",34.0003,-24,44,-118.2938,3,3,1,"2009-10",8,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","BOS",29539
"29540","Jump Shot","Jump Shot",33.9093,-142,135,-118.4118,10,4,1,"2009-10",58,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","BOS",29540
"29541","Fadeaway Jump Shot","Jump Shot",33.9043,97,140,-118.1728,5,4,1,"2009-10",22,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","BOS",29541
"29542","Jump Shot","Jump Shot",33.8873,111,157,-118.1588,3,4,1,"2009-10",57,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","BOS",29542
"29543","Jump Shot","Jump Shot",33.7833,10,261,-118.2598,0,4,1,"2009-10",28,26,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","BOS",29543
"29544","Jump Shot","Jump Shot",34.0273,195,17,-118.0748,11,1,1,"2010-11",16,19,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","NOH",29544
"29545","Reverse Layup Shot","Layup",34.0373,29,7,-118.2408,10,1,1,"2010-11",1,2,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29545
"29546","Running Jump Shot","Jump Shot",34.0133,-48,31,-118.3178,9,1,1,"2010-11",40,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29546
"29547","Jump Shot","Jump Shot",34.0333,151,11,-118.1188,7,1,1,"2010-11",55,15,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29547
"29549","Driving Layup Shot","Layup",34.0353,13,9,-118.2568,3,1,1,"2010-11",24,1,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29549
"29550","Reverse Layup Shot","Layup",34.0413,-23,3,-118.2928,0,1,1,"2010-11",57,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29550
"29552","Jump Shot","Jump Shot",34.0103,-27,34,-118.2968,6,2,1,"2010-11",31,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29552
"29553","Jump Shot","Jump Shot",33.8723,64,172,-118.2058,6,2,1,"2010-11",6,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","NOH",29553
"29554","Turnaround Jump Shot","Jump Shot",33.8913,-100,153,-118.3698,5,2,1,"2010-11",3,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","NOH",29554
"29555","Jump Shot","Jump Shot",33.8913,-122,153,-118.3918,2,2,1,"2010-11",10,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","NOH",29555
"29556","Step Back Jump shot","Jump Shot",34.0213,-161,23,-118.4308,0,2,1,"2010-11",10,16,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","NOH",29556
"29557","Jump Shot","Jump Shot",34.0333,-122,11,-118.3918,8,3,1,"2010-11",8,12,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29557
"29558","Turnaround Jump Shot","Jump Shot",33.9133,-38,131,-118.3078,6,3,1,"2010-11",9,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","NOH",29558
"29559","Jump Shot","Jump Shot",34.0323,31,12,-118.2388,4,3,1,"2010-11",38,3,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29559
"29560","Fadeaway Jump Shot","Jump Shot",33.9553,113,89,-118.1568,4,3,1,"2010-11",4,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29560
"29561","Jump Shot","Jump Shot",34.0023,-27,42,-118.2968,8,4,1,"2010-11",27,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29561
"29562","Turnaround Fadeaway shot","Jump Shot",33.9563,59,88,-118.2108,7,4,1,"2010-11",6,10,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","NOH",29562
"29564","Jump Shot","Jump Shot",34.0473,143,-3,-118.1268,5,4,1,"2010-11",56,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29564
"29565","Jump Shot","Jump Shot",33.9473,-67,97,-118.3368,5,4,1,"2010-11",15,11,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","NOH",29565
"29566","Jump Shot","Jump Shot",33.9693,56,75,-118.2138,4,4,1,"2010-11",37,9,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","NOH",29566
"29567","Jump Shot","Jump Shot",34.0433,-34,1,-118.3038,1,4,1,"2010-11",37,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29567
"29568","Layup Shot","Layup",34.0243,4,20,-118.2658,1,4,1,"2010-11",9,2,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29568
"29569","Tip Shot","Tip Shot",34.0303,-22,14,-118.2918,1,4,1,"2010-11",8,2,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29569
"29570","Jump Shot","Jump Shot",33.9883,9,56,-118.2608,4,1,1,"2010-11",28,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29570
"29571","Driving Layup Shot","Layup",34.0293,6,15,-118.2638,1,2,1,"2010-11",19,1,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29571
"29572","Jump Shot","Jump Shot",33.9863,-26,58,-118.2958,0,2,1,"2010-11",39,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29572
"29573","Jump Shot","Jump Shot",34.0073,-2,37,-118.2718,0,2,1,"2010-11",7,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29573
"29576","Running Jump Shot","Jump Shot",33.9973,-24,47,-118.2938,1,3,1,"2010-11",48,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29576
"29577","Reverse Slam Dunk Shot","Dunk",34.0273,-26,17,-118.2958,3,4,1,"2010-11",39,3,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29577
"29578","Jump Shot","Jump Shot",33.9123,-209,132,-118.4788,2,4,1,"2010-11",58,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","NOH",29578
"29579","Jump Shot","Jump Shot",33.8443,69,200,-118.2008,1,4,1,"2010-11",32,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","NOH",29579
"29580","Jump Shot","Jump Shot",33.9883,10,56,-118.2598,9,1,1,"2010-11",40,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29580
"29581","Jump Bank Shot","Jump Shot",34.0163,62,28,-118.2078,9,1,1,"2010-11",17,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29581
"29582","Jump Shot","Jump Shot",33.9723,-139,72,-118.4088,7,1,1,"2010-11",12,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29582
"29583","Jump Shot","Jump Shot",33.8633,-161,181,-118.4308,6,1,1,"2010-11",23,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","NOH",29583
"29584","Dunk Shot","Dunk",34.0433,4,1,-118.2658,4,1,1,"2010-11",55,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29584
"29585","Layup Shot","Layup",34.0333,13,11,-118.2568,3,1,1,"2010-11",48,1,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29585
"29586","Layup Shot","Layup",34.0223,15,22,-118.2548,6,2,1,"2010-11",51,2,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29586
"29587","Jump Shot","Jump Shot",33.7983,0,246,-118.2698,6,2,1,"2010-11",39,24,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29587
"29588","Jump Shot","Jump Shot",33.9513,-144,93,-118.4138,5,2,1,"2010-11",22,17,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","NOH",29588
"29589","Fadeaway Bank shot","Jump Shot",34.0073,-95,37,-118.3648,3,2,1,"2010-11",16,10,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29589
"29590","Jump Shot","Jump Shot",33.8243,-15,220,-118.2848,1,2,1,"2010-11",4,22,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","NOH",29590
"29591","Jump Shot","Jump Shot",33.8523,-158,192,-118.4278,11,3,1,"2010-11",45,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","NOH",29591
"29593","Jump Shot","Jump Shot",33.8133,-75,231,-118.3448,8,3,1,"2010-11",52,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29593
"29594","Jump Shot","Jump Shot",33.9833,103,61,-118.1668,5,3,1,"2010-11",57,11,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29594
"29595","Jump Shot","Jump Shot",34.0053,75,39,-118.1948,4,3,1,"2010-11",59,8,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","NOH",29595
"29596","Jump Shot","Jump Shot",33.7953,-23,249,-118.2928,3,3,1,"2010-11",58,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29596
"29597","Jump Shot","Jump Shot",33.8063,70,238,-118.1998,4,4,1,"2010-11",51,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29597
"29598","Fadeaway Jump Shot","Jump Shot",34.0243,136,20,-118.1338,2,4,1,"2010-11",26,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29598
"29600","Jump Shot","Jump Shot",33.9483,182,96,-118.0878,11,1,1,"2010-11",42,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","NOH",29600
"29601","Jump Shot","Jump Shot",33.9923,0,52,-118.2698,6,1,1,"2010-11",47,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29601
"29602","Jump Shot","Jump Shot",33.9893,-144,55,-118.4138,4,1,1,"2010-11",5,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29602
"29603","Jump Shot","Jump Shot",33.9863,136,58,-118.1338,7,2,1,"2010-11",40,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29603
"29604","Jump Shot","Jump Shot",33.8853,-138,159,-118.4078,5,2,1,"2010-11",50,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","NOH",29604
"29605","Jump Shot","Jump Shot",34.0113,13,33,-118.2568,2,2,1,"2010-11",57,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29605
"29606","Jump Shot","Jump Shot",34.0433,-48,1,-118.3178,2,2,1,"2010-11",12,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29606
"29607","Floating Jump shot","Jump Shot",33.9283,6,116,-118.2638,9,3,1,"2010-11",28,11,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","NOH",29607
"29609","Turnaround Bank shot","Bank Shot",34.0103,-81,34,-118.3508,6,3,1,"2010-11",43,8,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29609
"29610","Jump Shot","Jump Shot",34.0373,-142,7,-118.4118,4,3,1,"2010-11",4,14,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29610
"29611","Running Hook Shot","Hook Shot",33.9803,-19,64,-118.2888,2,3,1,"2010-11",37,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29611
"29612","Jump Shot","Jump Shot",34.0403,-147,4,-118.4168,2,3,1,"2010-11",7,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29612
"29614","Pullup Jump shot","Jump Shot",33.9643,58,80,-118.2118,5,4,1,"2010-11",19,9,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","NOH",29614
"29615","Jump Shot","Jump Shot",33.9993,50,45,-118.2198,3,4,1,"2010-11",50,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","NOH",29615
"29616","Jump Shot","Jump Shot",33.7923,-78,252,-118.3478,2,4,1,"2010-11",5,26,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29616
"29617","Jump Shot","Jump Shot",33.7983,59,246,-118.2108,0,4,1,"2010-11",4,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29617
"29618","Jump Shot","Jump Shot",33.8653,-5,179,-118.2748,7,2,1,"2010-11",51,17,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","NOH",29618
"29619","Fadeaway Jump Shot","Jump Shot",34.0473,-146,-3,-118.4158,7,2,1,"2010-11",6,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29619
"29621","Jump Shot","Jump Shot",33.7903,64,254,-118.2058,5,2,1,"2010-11",14,26,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","NOH",29621
"29622","Jump Shot","Jump Shot",33.9723,-111,72,-118.3808,4,2,1,"2010-11",24,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29622
"29623","Driving Slam Dunk Shot","Dunk",34.0243,0,20,-118.2698,3,2,1,"2010-11",31,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29623
"29624","Driving Layup Shot","Layup",34.0403,20,4,-118.2498,3,2,1,"2010-11",0,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29624
"29625","Running Jump Shot","Jump Shot",33.9833,64,61,-118.2058,1,2,1,"2010-11",42,8,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","NOH",29625
"29626","Jump Shot","Jump Shot",34.0273,177,17,-118.0928,1,2,1,"2010-11",8,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","NOH",29626
"29627","Driving Layup Shot","Layup",34.0443,23,0,-118.2468,0,2,1,"2010-11",7,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29627
"29628","Driving Slam Dunk Shot","Dunk",34.0413,-7,3,-118.2768,8,3,1,"2010-11",22,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29628
"29629","Fadeaway Jump Shot","Jump Shot",34.0493,-130,-5,-118.3998,7,3,1,"2010-11",48,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29629
"29631","Jump Shot","Jump Shot",33.9703,-78,74,-118.3478,8,1,1,"2010-11",44,10,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","NOH",29631
"29632","Jump Shot","Jump Shot",33.9153,218,129,-118.0518,7,1,1,"2010-11",13,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","NOH",29632
"29633","Jump Shot","Jump Shot",34.0113,147,33,-118.1228,6,1,1,"2010-11",16,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29633
"29634","Jump Shot","Jump Shot",33.9473,100,97,-118.1698,4,1,1,"2010-11",48,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","NOH",29634
"29635","Turnaround Jump Shot","Jump Shot",33.9753,-130,69,-118.3998,3,1,1,"2010-11",27,14,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29635
"29636","Jump Shot","Jump Shot",33.9423,-100,102,-118.3698,6,2,1,"2010-11",2,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29636
"29639","Jump Shot","Jump Shot",34.0143,-138,30,-118.4078,1,2,1,"2010-11",59,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29639
"29640","Jump Shot","Jump Shot",34.0293,28,15,-118.2418,1,2,1,"2010-11",51,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29640
"29641","Jump Shot","Jump Shot",33.8313,70,213,-118.1998,11,3,1,"2010-11",2,22,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","NOH",29641
"29642","Driving Layup Shot","Layup",34.0243,-4,20,-118.2738,10,3,1,"2010-11",32,2,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","NOH",29642
"29644","Jump Shot","Jump Shot",33.8543,171,190,-118.0988,1,3,1,"2010-11",35,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","NOH",29644
"29645","Jump Shot","Jump Shot",33.8823,195,162,-118.0748,0,3,1,"2010-11",0,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","NOH",29645
"29646","Jump Shot","Jump Shot",34.0253,-101,19,-118.3708,3,4,1,"2010-11",36,10,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","NOH",29646
"29647","Jump Shot","Jump Shot",33.8713,95,173,-118.1748,10,1,1,"2010-11",55,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","DAL",29647
